Project Id;Project Name;Project Link;Project Scope;Citizen Science Web Name;Citizen Science Web Link
62;Observatorio Ciudadano de la Sequía;https://ciencia-ciudadana.es/proyecto-cc/observatorio-ciudadano-de-la-sequia/;Ciencias Sociales, Clima y Meteorología, Ecología y Medioambiente, Geografía, Gestión de Recursos Naturales, Informática y Ciencias de la Computación, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
63;«Picture your microbes – Imagina tus microbios»;https://ciencia-ciudadana.es/proyecto-cc/picture-your-microbes-imagina-tus-microbios/;Biología, Ciencia de los Alimentos, Ciencias Químicas, Educación, Informática y Ciencias de la Computación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
64;Proyecto de Voluntariado Hippocampus;https://ciencia-ciudadana.es/proyecto-cc/proyecto-de-voluntariado-hippocampus/;Biodiversidad, Biología, Ecología y Medioambiente, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
65;AquaCoLab – Burgos (FCT – 19 – 15215);https://ciencia-ciudadana.es/proyecto-cc/aquacolab-burgos-fct-19-15215/;Animales, Biodiversidad, Biología, Ciencias Químicas, Ecología y Medioambiente, Educación, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Insectos y Polinizadores, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
66;Fundesplai;https://ciencia-ciudadana.es/proyecto-cc/fundesplai/;Ciencia de los Alimentos, Ciencias Sociales, Ecología y Medioambiente, Educación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
67;WeCount – Ciencia ciudadana para contabilizar la movilidad;https://ciencia-ciudadana.es/proyecto-cc/wecount/;Ecología y Medioambiente, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
68;Plataforma MARNOBA-Caracterización de Basuras Marinas;https://ciencia-ciudadana.es/proyecto-cc/plataforma-marnoba/;Ecología y Medioambiente, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
69;Proyecto LIBERA;https://ciencia-ciudadana.es/proyecto-cc/proyecto-libera/;Animales, Biodiversidad, Biogeografía, Ciencias Sociales, Ecología y Medioambiente, Educación, Geografía, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
70;Observatorio Cinegético;https://ciencia-ciudadana.es/proyecto-cc/observatorio-cinegetico/;Animales, Biodiversidad, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
71;PÁJAROS EN LA NUBE-Colegio Ángel Campano De Gines, Sevilla;https://ciencia-ciudadana.es/proyecto-cc/pajaros-en-la-nube-2/;Animales, Biodiversidad, Biología, Clima y Meteorología, Educación, Informática y Ciencias de la Computación, Insectos y Polinizadores, Pájaros;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
